x,y,label,sample_text
-9.768776,-3.481903,7," I don't know, I can't really think of anything.  I just been playing a little golf and producing a "
-7.2435126,-8.159364,7," No, and don't tell me what is going on. I don't and don't tell me what is going on.  Please."
4.696152,-11.545178,2,"  Yeah, I think I'm always pretty good no matter if we have fans or not.  I always talk about stayin"
6.351087,-17.316864,4,"I was going to say, Marcus over here was in the finals of the MVP of the American League, and here y"
9.437142,-7.768075,2," Obviously today was more of a grind than last Thursday.  But still, still saw some good scores, obv"
8.926128,21.617023,2,"Yeah, I think she was tired in the third set and she -- when she start -- when I start to play, you "
-0.10515689,19.312225,2,"Yeah, Zack's preparation is probably the best in the game. There's a couple of guys here, too, as we"
-14.698552,-5.7351265,2," I managed to hit some of my shots close, and the ones that I didn't I managed to save par."
-21.97531,-1.7531135,3,"  Yeah, he's just battling through the heel.  He was struggling to move a little bit but toughed it "
10.46857,23.934927,3, It is like during the Wimbledon -- before the main game she was practicing and she injured at the W
13.527256,0.9740445,1,"Yeah, I mean, having them go out there and be aggressive, a lot of the credit goes to the scout defe"
-6.83999,-26.336983,2, I can't say that I turned it up because he doublefaulted three times.  I wish I could take credit f
6.8625035,-20.64054,2,"  It's unusual.  It's rare that you would dominate the 500 the way we did, support a single driver t"
19.660366,-12.120445,2,"I feel great. We've had good speed. I look at Vegas, if we didn't get the damage, get trapped down a"
7.582458,3.426834,2," It's just about fairest match I play. Today I was expected to do win, I came through, I'm expected "
7.437993,-7.118983,6, We just said that we are going to make a couple of tournaments before the Open and the Open.  We di
-2.7506073,-11.620821,6,"You obviously love your chances, you've won it twice before, what is it about that makes this event "
3.792175,15.666062,5,It's not a bad four-year run. It almost feels like it got started against us a few years ago at our 
-18.721962,3.673599,5,"  I had so much champagne, I don't even remember what I said to my dad.  Probably I love him.  He's "
-15.43513,15.605826,2,"  I hit pretty good tee shot and I have like 195 and it's like downwind, so I hit 6-iron and I have "
-17.219456,-11.268355,2,"  I don't think Andre lacked anything.  I think Andre has all of the tools to be a great player, and"
12.076371,-9.570154,5,Absolutely. We're all about winning it all. That's what we're all about. That's what fan base is all
-8.012364,16.68572,7," Last year I was here watching a little bit, yeah.  The year before, I am not sure, I might have bee"
-11.157595,-10.65726,2," Yeah, two weeks have been just great. No one expect me to go to the quarterfinal, it has been great"
-17.266542,2.6600692,2," You know, played very well the.  He gave me the opportunities; I took them.  That is why I played w"
16.813507,2.8490486,5,"First of all, congratulations to Stanford. They played a great match tonight. And for our group, obv"
11.171826,-4.556234,5,"  No.  This Team does not get nervous.  We are a very poised, confident group.  We are prepared to g"
-12.342133,1.4259958,2,I was trying to put away the hitter. For me something very big because that hitter is very big right
13.410486,-17.140362,2,"I mean, I think certainly early in the season that was a major factor. As the season has progressed,"
5.5122137,-9.574652,7,"We've been talking a lot. Talk a little bit about baseball, talk about his workouts, and other stuff"
8.093157,14.42192,7,"  Yeah, absolutely.  It's gorgeous out here.  Really made it super fun having so many people watch, "
-14.791652,22.426592,1,I'm not thinking.  That's something that me and Matt have connected on before.  Incredible look by M
-10.139579,-6.3829103,2," Why, because they are all so good and they have done so many good things in golf.  They have won so"
-1.7827367,-1.4945221,2," Yeah, yeah, it's much better with my technique.  It's much better and now on I knew on hardcourt I "
0.33786842,11.0051775,2,"I think it made a difference. We ran second, led some laps, ran second all day. We were just a littl"
14.453015,-1.5875994,2,"Yeah, it just depends on what type of hitter you are. Some people stick to your approach. Some peopl"
-10.623822,7.3000565,5,  I felt like that a little bit.  I notice that Ally would always make it on top of me so I thought 
-9.509567,1.7213012,2,"  Oh, my God.  (Laughs) I'm done.  It was a struggle today, especially off the tee.  I think I was s"
-12.313087,8.831603,3,"This is something that, like I said, he came in yesterday and felt it a little bit and had these lit"
18.639484,-1.3264358,4,"Well, I wouldn't expect the worst strikeout Team to be in the World Series, you know what I'm saying"
